english,gemini_translate
It seems I was killing more people than I was saving.,Có vẻ như tôi đã giết nhiều người hơn là cứu sống.
Jesus...,Chúa ơi...
There's some fucking guy with a fucking chainsaw!,Có một thằng cha khốn kiếp với cái cưa máy chết tiệt!
But now the French.,Nhưng bây giờ là người Pháp.
For which the minimum sentence is...,Mà mức án tối thiểu là...
I'd start there.,Tôi sẽ bắt đầu từ đó.
I told you.,Tôi đã nói với anh rồi.
- Did you make these special for me?,- Anh làm những thứ này đặc biệt cho tôi à?
"It happens 'cause, you know, it's war, but what can I tell ya?","Chuyện đó xảy ra vì, anh biết đấy, đó là chiến tranh, nhưng tôi có thể nói gì với anh đây?"
"Enjoy it. I hear the, uh— the snow's very good at Chamonix.","Hãy tận hưởng đi. Tôi nghe nói, ừm— tuyết ở Chamonix rất đẹp."
"Oh, my God!","Ôi, Chúa ơi!"
Your heart rate is unusually slow. Hmm.,Nhịp tim của anh chậm bất thường. Hừm.
- Okay.,- Được rồi.
"Blair, what have they done?","Blair, họ đã làm gì vậy?"
"I could tell you, but then...","Tôi có thể nói cho anh biết, nhưng rồi..."
Don't bother.,Đừng bận tâm.
"Well, Susie, none of it makes much sense, does it, huh?","Chà, Susie, chẳng có gì hợp lý cả, phải không?"
Get up!,Dậy đi!
- Stop the car!,- Dừng xe lại!
I'm fine.,Tôi ổn.
