english,human_reference_vi
He's looking right at us. Don't worry.,"Không sao cả, nó sẽ học sự sợ hãi."
I suppose she got lonely for it.,Tôi nghĩ bả nhớ nhà.
"Look, I'm not crazy, okay?","Nhìn đi, tôi không có điên, okay?"
Ta-er Al-Sahfer.,Ta-er Sah-fer.
What's your name?,Cô tên gì?
- I'm gonna get you!,- Tao sẽ bắt được bọn mày.
Is that what you want?,Đó là điều ngài muốn à?
- What are you saying?,-Vậy anh nói gì?
Do you have something?,Ông có cái gì không?
- Yeah. Have a good night.,- Chúc ngủ ngon.
Sha-ron.,Sha-ron.
You... have been a wise mentor... and a good friend. But... business must come first!,"Ông đã là một người thầy vô cùng sáng suốt và là một người bạn tốt, nhưng... công việc là trên hết."
I want you to take her case.,Tôi muốn cậu nhận vụ án này.
A place where romantics from all over the world come to wish for love.,Nơi mà những người lãng mạn nhất trên thế giới. Đến để thực hiện điều ước tình yêu.
You did a great job in there.,Anh đã làm tốt lắm. Gã đó đang mất đi người vợ.
I'm grateful to be alive.,Quan Vũ còn sống là tốt rồi.
He was almost in tears when he found out that I was bringing someone.,Ông ấy gần như rơi nước mắt khi biết rằng tôi sẽ đưa ai đó tới.
"Water broke, let's go!","Vỡ ối, đi thôi!"
- Hey!,- Này!
I don't think so.,Tớ không nghĩ vậy.
We're the last two who need to disappear to keep her safe.,Chúng ta là hai người cuối cùng phải biến mất Để cho cô ấy được an toàn.
"Of course, do you know When I'm in a fighting mode, my face is very vicious...","Tất nhiên, ông có biết khi tôi trong trận đánh, mặt của tôi rất xấu xa"
Behold our mortal enemy.,"Và đây, kẻ thù truyền kiếp của chúng ta."
Er.. well you see.. actually..,ờ... anh thấy đó. thật ra thì...
I am a Transhuman Interactive Machine.,Tôi là người máy giúp đỡ con người
What for?,- Tại sao vậy hả?
AJUSSI (Official English Title= The Man From Nowhere) Ajussi: appellation widely used to refer/call an adult man when there's no other appropriate name/title available.,AJUSSI (Official English Title: The Man From Nowhere) Hope you enjoy the film.
"Now, listen...",Giờ thì hãy lắng nghe...
"Well, I could sweetheart, but, uh, I'm at work.","Bố có thể, nhưng bố đang làm việc..."
You shouldn't be here.,Cháu không cần phải đến đây.
"Yes, you could!",Được chứ sao không!
"And now we will hear from our new chief, Agent O.","Và bây giờ chúng ta sẽ lắng nghe người lãnh đạo mới, đặc vụ O."
-Hi.,- Chào.
10 min. after 8.,Lúc 8h10.
"- Thank you, Mr. Chairman.",ngài chủ tọa.
"If I see you shoplifting again, I am calling the cops.","Nếu tôi còn thấy ông chôm đồ lần nữa, tôi sẽ gọi cảnh sát đó."
I'm so sorry I kept you guys UP-,Cháu xin lỗi vì làm hai bác phải thức.
To take up with a woman is easy.,Để tới với một người phụ nữ thì dễ.
Okay. Yeah.,"Ừ, đồng ý."
Such true and real words! Powerful words!,Thật là những lời lẽ chân thật và mạnh mẽ!
None of this makes any sense if I didn't have... enough.,Chẳng có gì mang ý nghĩa nếu thầy không được viên mãn.
Bosch will be joining the prison population.,Bosch sẽ là tù nhân.
All of us are surrounded by ghosts.,Xung quanh ta đều là cái bóng của những người đã khuất.
Let me tell you something...,Nói tôi nghe xem nào.
"Get it? Your friends might get me in a rush, but not before I make your head into a canoe.","Lũ bạn mày sẽ hạ tao, nhưng tao sẽ biến đầu mày thành cái gáo trước."
"Ms Gennero, I...","Bà Gennero, tôi..."
What about you?,Còn anh thì sao?
Is there not anything different between you two?,Không có gì khác nhau giữa hai người sao?
"You're kind of a jerk, aren't you?",Vậy là anh thuộc loại đần độn.
I want to do a profile on you.,Tôi muốn làm một bộ hồ sơ thông tin về cô
"When they come back, I'll distract them. Then you can go.","Khi họ trở lại, em sẽ làm họ phân tâm."
You know how things are.,Anh biết mọi việc thế nào mà.
"""Dear Andre, what a charming gala Christine was, in a word, sublime","""Ông André thân mến, thật là 1 buổi diễn thành công! Christine quả thật là tuyệt vời!"
You do what you want.,Em muốn sao tùy em.
"- Lincoln, no!","- Lincoln, không!"
Three years.,Phải. Ba năm.
You've been staying late so many nights.,Con đã ở lại muộn nhiều tối rồi.
"Ah, Tibetan pit viper venom.","Ah, nọc độc rắn hổ Tây Tạng."
It's my son-in-law's marriage !,Ngày hôm đó là ngày chúng ta tắm.
"So,did you already check outthe apartment?",Vậy anh đã xem qua căn hộ chưa?
"This is where we wait for the truck, okay?",Họ chỉ muốn đưa chúng ta đi đâu thôi.
"No, you haven't.",Chưa bao giờ.
I think we have to stop sleeping together.,"Tớ nghĩ tụi tớ phải ngừng ngủ với nhau. Với tớ và Ted,"
I spotted it earlier.,Tôi phát hiện nó trước.
Tell that OWL I want her to come.,Bảo OWL mình muốn cô ấy đến.
"Mace, we'll need money.","Mace, chúng ta cần tiền."
Search:,Tìm & kiếm:
I love this thing.,Tao yêu thứ này.
"But how, with your IUD?","Làm sao được, em có đặt vòng mà?"
"- Here you go. - I'm talking about my money, bitch.",-Tao đang nói về tiền của tao.
Every day I know I will be OK,Every day I know I will be OK
"I won't slow you down, ser. My lady.",Tôi sẽ không làm ngài chậm lại đâu-- thưa tiểu thư.
Don't worry.,Đừng lo.
- You have more friends than you thought.,Cậu có nhiều bạn hơn cậu tưởng đấy.
"- Yes, I'm afraid so.","- Vâng, tôi sợ như vậy."
"Not now, nor ever!","Bây giờ không, mãi mãi cũng không"
