english,human_reference_vi,google_translate
He's looking right at us. Don't worry.,"Không sao cả, nó sẽ học sự sợ hãi.",Anh ấy đang nhìn thẳng vào chúng tôi. Đừng lo lắng.
I suppose she got lonely for it.,Tôi nghĩ bả nhớ nhà.,Tôi cho rằng cô ấy cảm thấy cô đơn vì điều đó.
"Look, I'm not crazy, okay?","Nhìn đi, tôi không có điên, okay?","Nghe này, tôi không điên, được chứ?"
Ta-er Al-Sahfer.,Ta-er Sah-fer.,Ta-er Al-Sahfer.
What's your name?,Cô tên gì?,Bạn tên là gì?
- I'm gonna get you!,- Tao sẽ bắt được bọn mày.,- Tôi sẽ bắt được anh!
Is that what you want?,Đó là điều ngài muốn à?,Đó có phải là điều bạn muốn không?
- What are you saying?,-Vậy anh nói gì?,- Cậu đang nói gì vậy?
Do you have something?,Ông có cái gì không?,Bạn có cái gì không?
- Yeah. Have a good night.,- Chúc ngủ ngon.,- Vâng. Chúc bạn ngủ ngon.
Sha-ron.,Sha-ron.,Sha-ron.
You... have been a wise mentor... and a good friend. But... business must come first!,"Ông đã là một người thầy vô cùng sáng suốt và là một người bạn tốt, nhưng... công việc là trên hết.",Anh... là một người cố vấn khôn ngoan... và là một người bạn tốt. Nhưng... kinh doanh phải được đặt lên hàng đầu!
I want you to take her case.,Tôi muốn cậu nhận vụ án này.,Tôi muốn anh nhận vụ của cô ấy.
A place where romantics from all over the world come to wish for love.,Nơi mà những người lãng mạn nhất trên thế giới. Đến để thực hiện điều ước tình yêu.,Nơi mà những người lãng mạn từ khắp nơi trên thế giới đến để cầu mong tình yêu.
You did a great job in there.,Anh đã làm tốt lắm. Gã đó đang mất đi người vợ.,Bạn đã làm rất tốt ở đó.
I'm grateful to be alive.,Quan Vũ còn sống là tốt rồi.,Tôi biết ơn vì được sống.
He was almost in tears when he found out that I was bringing someone.,Ông ấy gần như rơi nước mắt khi biết rằng tôi sẽ đưa ai đó tới.,Anh ấy gần như rơi nước mắt khi biết tôi đang dẫn theo một người nào đó.
"Water broke, let's go!","Vỡ ối, đi thôi!","Nước vỡ rồi, đi thôi!"
- Hey!,- Này!,- Chào!
I don't think so.,Tớ không nghĩ vậy.,Tôi không nghĩ vậy.
