english,human_reference_vi,google_translate,gemini_translate,category
He's looking right at us. Don't worry.,"Không sao cả, nó sẽ học sự sợ hãi.",Anh ấy đang nhìn thẳng vào chúng tôi. Đừng lo lắng.,Anh ấy đang nhìn thẳng vào chúng ta. Đừng lo.,simple
I suppose she got lonely for it.,Tôi nghĩ bả nhớ nhà.,Tôi cho rằng cô ấy cảm thấy cô đơn vì điều đó.,Tôi đoán cô ấy cảm thấy cô đơn vì điều đó.,simple
"Look, I'm not crazy, okay?","Nhìn đi, tôi không có điên, okay?","Nghe này, tôi không điên, được chứ?","Nghe này, tôi không điên, được chứ?",simple
Ta-er Al-Sahfer.,Ta-er Sah-fer.,Ta-er Al-Sahfer.,Ta-er Al-Sahfer.,simple
What's your name?,Cô tên gì?,Bạn tên là gì?,Tên của bạn là gì?,simple
- I'm gonna get you!,- Tao sẽ bắt được bọn mày.,- Tôi sẽ bắt được anh!,- Tôi sẽ bắt được anh!,idiom
Is that what you want?,Đó là điều ngài muốn à?,Đó có phải là điều bạn muốn không?,Đó có phải là điều anh muốn không?,simple
- What are you saying?,-Vậy anh nói gì?,- Cậu đang nói gì vậy?,- Anh đang nói gì vậy?,simple
Do you have something?,Ông có cái gì không?,Bạn có cái gì không?,Anh có gì không?,simple
- Yeah. Have a good night.,- Chúc ngủ ngon.,- Vâng. Chúc bạn ngủ ngon.,- Ừ. Chúc ngủ ngon.,idiom
Sha-ron.,Sha-ron.,Sha-ron.,Sha-ron.,simple
You... have been a wise mentor... and a good friend. But... business must come first!,"Ông đã là một người thầy vô cùng sáng suốt và là một người bạn tốt, nhưng... công việc là trên hết.",Anh... là một người cố vấn khôn ngoan... và là một người bạn tốt. Nhưng... kinh doanh phải được đặt lên hàng đầu!,Anh... đã là một người cố vấn khôn ngoan... và một người bạn tốt. Nhưng... công việc phải đặt lên hàng đầu!,complex
I want you to take her case.,Tôi muốn cậu nhận vụ án này.,Tôi muốn anh nhận vụ của cô ấy.,Tôi muốn anh nhận vụ của cô ấy.,simple
A place where romantics from all over the world come to wish for love.,Nơi mà những người lãng mạn nhất trên thế giới. Đến để thực hiện điều ước tình yêu.,Nơi mà những người lãng mạn từ khắp nơi trên thế giới đến để cầu mong tình yêu.,Một nơi mà những người lãng mạn từ khắp nơi trên thế giới đến để cầu nguyện cho tình yêu.,complex
You did a great job in there.,Anh đã làm tốt lắm. Gã đó đang mất đi người vợ.,Bạn đã làm rất tốt ở đó.,Anh đã làm rất tốt ở đó.,idiom
I'm grateful to be alive.,Quan Vũ còn sống là tốt rồi.,Tôi biết ơn vì được sống.,Tôi biết ơn vì còn sống.,simple
He was almost in tears when he found out that I was bringing someone.,Ông ấy gần như rơi nước mắt khi biết rằng tôi sẽ đưa ai đó tới.,Anh ấy gần như rơi nước mắt khi biết tôi đang dẫn theo một người nào đó.,Anh ấy gần như bật khóc khi biết tôi đang đưa ai đó đến.,complex
"Water broke, let's go!","Vỡ ối, đi thôi!","Nước vỡ rồi, đi thôi!","Vỡ ối rồi, đi thôi!",idiom
- Hey!,- Này!,- Chào!,- Này!,simple
I don't think so.,Tớ không nghĩ vậy.,Tôi không nghĩ vậy.,Tôi không nghĩ vậy.,simple
We're the last two who need to disappear to keep her safe.,Chúng ta là hai người cuối cùng phải biến mất Để cho cô ấy được an toàn.,Chúng tôi là hai người cuối cùng cần biến mất để giữ an toàn cho cô ấy.,Chúng ta là hai người cuối cùng cần phải biến mất để giữ an toàn cho cô ấy.,complex
"Of course, do you know When I'm in a fighting mode, my face is very vicious...","Tất nhiên, ông có biết khi tôi trong trận đánh, mặt của tôi rất xấu xa","Tất nhiên, bạn có biết khi tôi đang trong trạng thái chiến đấu, khuôn mặt của tôi rất hung ác...","Tất nhiên, bạn có biết khi tôi ở chế độ chiến đấu, khuôn mặt tôi rất hung dữ...",complex
Behold our mortal enemy.,"Và đây, kẻ thù truyền kiếp của chúng ta.",Hãy nhìn xem kẻ thù truyền kiếp của chúng ta.,Hãy nhìn kẻ thù không đội trời chung của chúng ta.,simple
Er.. well you see.. actually..,ờ... anh thấy đó. thật ra thì...,Er.. bạn thấy đấy.. thực ra..,"À... ừm, bạn thấy đấy... thực ra...",simple
I am a Transhuman Interactive Machine.,Tôi là người máy giúp đỡ con người,Tôi là một cỗ máy tương tác siêu nhân.,Tôi là một Cỗ máy Tương tác Siêu nhân.,simple
What for?,- Tại sao vậy hả?,Để làm gì?,Để làm gì?,simple
AJUSSI (Official English Title= The Man From Nowhere) Ajussi: appellation widely used to refer/call an adult man when there's no other appropriate name/title available.,AJUSSI (Official English Title: The Man From Nowhere) Hope you enjoy the film.,AJUSSI (Tiêu đề tiếng Anh chính thức = Người đàn ông đến từ hư vô) Ajussi: tên gọi được sử dụng rộng rãi để chỉ/gọi một người đàn ông trưởng thành khi không có tên/chức danh thích hợp nào khác.,AJUSSI (Tên tiếng Anh chính thức = The Man From Nowhere) Ajussi: cách gọi phổ biến dùng để chỉ/gọi một người đàn ông trưởng thành khi không có tên/danh xưng phù hợp nào khác.,complex
"Now, listen...",Giờ thì hãy lắng nghe...,"Bây giờ, hãy nghe...","Bây giờ, nghe đây...",simple
"Well, I could sweetheart, but, uh, I'm at work.","Bố có thể, nhưng bố đang làm việc...","Ừ, anh có thể, em yêu, nhưng anh đang ở chỗ làm.","Chà, anh có thể đấy em yêu, nhưng, ừm, anh đang làm việc.",complex
You shouldn't be here.,Cháu không cần phải đến đây.,Bạn không nên ở đây.,Bạn không nên ở đây.,simple
"Yes, you could!",Được chứ sao không!,"Vâng, bạn có thể!","Vâng, bạn có thể!",simple
"And now we will hear from our new chief, Agent O.","Và bây giờ chúng ta sẽ lắng nghe người lãnh đạo mới, đặc vụ O.","Và bây giờ chúng ta sẽ nghe ý kiến ​​từ thủ lĩnh mới của chúng ta, Đặc vụ O.","Và bây giờ chúng ta sẽ nghe từ sếp mới của chúng ta, Đặc vụ O.",simple
-Hi.,- Chào.,-CHÀO.,-Chào.,simple
10 min. after 8.,Lúc 8h10.,10 phút. sau 8 giờ.,8 giờ 10 phút.,simple
"- Thank you, Mr. Chairman.",ngài chủ tọa.,- Cảm ơn ngài Chủ tịch.,- Cảm ơn ông Chủ tịch.,simple
"If I see you shoplifting again, I am calling the cops.","Nếu tôi còn thấy ông chôm đồ lần nữa, tôi sẽ gọi cảnh sát đó.","Nếu tôi thấy bạn ăn trộm lần nữa, tôi sẽ gọi cảnh sát đấy.","Nếu tôi thấy bạn ăn cắp vặt nữa, tôi sẽ gọi cảnh sát.",complex
I'm so sorry I kept you guys UP-,Cháu xin lỗi vì làm hai bác phải thức.,Tôi rất xin lỗi vì đã khiến các bạn LÊN-,Tôi rất xin lỗi vì đã giữ các bạn thức-,idiom
To take up with a woman is easy.,Để tới với một người phụ nữ thì dễ.,Làm quen với một người phụ nữ thật dễ dàng.,Cặp kè với một người phụ nữ thì dễ.,idiom
Okay. Yeah.,"Ừ, đồng ý.",Được rồi. Vâng.,Được rồi. Ừ.,simple
Such true and real words! Powerful words!,Thật là những lời lẽ chân thật và mạnh mẽ!,Những lời chân thật và thực tế như vậy! Lời nói mạnh mẽ!,Những lời thật và đúng đắn làm sao! Những lời mạnh mẽ!,simple
None of this makes any sense if I didn't have... enough.,Chẳng có gì mang ý nghĩa nếu thầy không được viên mãn.,Những điều này sẽ chẳng có ý nghĩa gì nếu tôi không có... đủ.,Tất cả những điều này đều vô nghĩa nếu tôi không có... đủ.,complex
Bosch will be joining the prison population.,Bosch sẽ là tù nhân.,Bosch sẽ tham gia vào nhóm tù nhân.,Bosch sẽ gia nhập cộng đồng tù nhân.,idiom
All of us are surrounded by ghosts.,Xung quanh ta đều là cái bóng của những người đã khuất.,Tất cả chúng ta đều bị bao quanh bởi những bóng ma.,Tất cả chúng ta đều bị ma quỷ bao vây.,idiom
Let me tell you something...,Nói tôi nghe xem nào.,Hãy để tôi nói cho bạn điều gì đó...,Để tôi nói cho anh nghe điều này...,simple
"Get it? Your friends might get me in a rush, but not before I make your head into a canoe.","Lũ bạn mày sẽ hạ tao, nhưng tao sẽ biến đầu mày thành cái gáo trước.","Hiểu chưa? Bạn bè của bạn có thể thúc giục tôi vội vàng, nhưng không phải trước khi tôi đâm đầu bạn vào một chiếc ca nô.","Hiểu không? Bạn bè của mày có thể vồ lấy tao ngay, nhưng không phải trước khi tao biến đầu mày thành một cái xuồng.",idiom
"Ms Gennero, I...","Bà Gennero, tôi...","Cô Gennero, tôi...","Cô Gennero, tôi...",simple
What about you?,Còn anh thì sao?,Còn bạn thì sao?,Còn anh thì sao?,simple
Is there not anything different between you two?,Không có gì khác nhau giữa hai người sao?,Giữa hai người không có gì khác biệt sao?,Giữa hai người không có gì khác biệt sao?,simple
"You're kind of a jerk, aren't you?",Vậy là anh thuộc loại đần độn.,"Bạn là một kẻ ngốc, phải không?","Anh đúng là đồ khốn, phải không?",idiom
I want to do a profile on you.,Tôi muốn làm một bộ hồ sơ thông tin về cô,Tôi muốn làm một hồ sơ về bạn.,Tôi muốn lập hồ sơ về anh.,simple
"When they come back, I'll distract them. Then you can go.","Khi họ trở lại, em sẽ làm họ phân tâm.","Khi họ quay lại, tôi sẽ đánh lạc hướng họ. Sau đó bạn có thể đi.","Khi họ quay lại, tôi sẽ đánh lạc hướng họ. Sau đó anh có thể đi.",complex
You know how things are.,Anh biết mọi việc thế nào mà.,Bạn biết mọi chuyện thế nào rồi.,Anh biết mọi chuyện thế nào rồi đấy.,idiom
"""Dear Andre, what a charming gala Christine was, in a word, sublime","""Ông André thân mến, thật là 1 buổi diễn thành công! Christine quả thật là tuyệt vời!","""Andre thân mến, Christine thật là một buổi dạ tiệc quyến rũ, nói một cách là tuyệt vời.""","""Andre thân mến, buổi dạ tiệc của Christine thật quyến rũ, nói một từ thôi, tuyệt vời",complex
You do what you want.,Em muốn sao tùy em.,Bạn làm những gì bạn muốn.,Anh muốn làm gì thì làm.,simple
"- Lincoln, no!","- Lincoln, không!","- Lincoln, không!","- Lincoln, không!",simple
Three years.,Phải. Ba năm.,Ba năm.,Ba năm.,simple
You've been staying late so many nights.,Con đã ở lại muộn nhiều tối rồi.,Bạn đã thức khuya rất nhiều đêm rồi.,Anh đã thức khuya rất nhiều đêm rồi.,simple
"Ah, Tibetan pit viper venom.","Ah, nọc độc rắn hổ Tây Tạng.","À, nọc độc của rắn hổ lục Tây Tạng.","À, nọc rắn lục Tây Tạng.",simple
It's my son-in-law's marriage !,Ngày hôm đó là ngày chúng ta tắm.,Đó là đám cưới của con rể tôi!,Đó là đám cưới của con rể tôi!,simple
"So,did you already check outthe apartment?",Vậy anh đã xem qua căn hộ chưa?,Vậy bạn đã kiểm tra căn hộ chưa?,"Vậy, anh đã xem căn hộ chưa?",idiom
"This is where we wait for the truck, okay?",Họ chỉ muốn đưa chúng ta đi đâu thôi.,"Đây là nơi chúng ta đợi xe tải, được chứ?","Đây là nơi chúng ta đợi xe tải, được chứ?",complex
"No, you haven't.",Chưa bao giờ.,"Không, bạn chưa.","Không, anh chưa làm.",simple
I think we have to stop sleeping together.,"Tớ nghĩ tụi tớ phải ngừng ngủ với nhau. Với tớ và Ted,",Tôi nghĩ chúng ta phải ngừng ngủ cùng nhau.,Tôi nghĩ chúng ta phải ngừng ngủ chung.,complex
I spotted it earlier.,Tôi phát hiện nó trước.,Tôi đã phát hiện ra nó sớm hơn.,Tôi đã phát hiện ra nó lúc nãy.,simple
Tell that OWL I want her to come.,Bảo OWL mình muốn cô ấy đến.,Nói với OWL rằng tôi muốn cô ấy đến.,Bảo con Cú đó tôi muốn nó đến.,ambiguous
"Mace, we'll need money.","Mace, chúng ta cần tiền.","Mace, chúng ta cần tiền.","Mace, chúng ta sẽ cần tiền.",simple
Search:,Tìm & kiếm:,Tìm kiếm:,Tìm kiếm:,simple
I love this thing.,Tao yêu thứ này.,Tôi thích điều này.,Tôi yêu cái thứ này.,simple
"But how, with your IUD?","Làm sao được, em có đặt vòng mà?","Nhưng làm thế nào, với vòng tránh thai của bạn?","Nhưng làm sao, với vòng tránh thai của cô?",simple
"- Here you go. - I'm talking about my money, bitch.",-Tao đang nói về tiền của tao.,"- Đây này. - Tôi đang nói về tiền của tôi đấy, đồ khốn.","- Của anh đây. - Tôi đang nói về tiền của tôi, đồ khốn.",simple
Every day I know I will be OK,Every day I know I will be OK,Mỗi ngày tôi biết mình sẽ ổn,Mỗi ngày tôi biết mình sẽ ổn thôi.,complex
"I won't slow you down, ser. My lady.",Tôi sẽ không làm ngài chậm lại đâu-- thưa tiểu thư.,"Tôi sẽ không làm anh chậm lại, ser. Thưa quý cô.","Tôi sẽ không làm ngài chậm lại đâu, thưa ngài. Thưa quý cô của tôi.",idiom
Don't worry.,Đừng lo.,Đừng lo lắng.,Đừng lo lắng.,simple
- You have more friends than you thought.,Cậu có nhiều bạn hơn cậu tưởng đấy.,- Cậu có nhiều bạn hơn cậu nghĩ đấy.,- Anh có nhiều bạn hơn anh nghĩ đấy.,complex
"- Yes, I'm afraid so.","- Vâng, tôi sợ như vậy.","- Vâng, tôi e là vậy.","- Vâng, tôi e là vậy.",idiom
"Not now, nor ever!","Bây giờ không, mãi mãi cũng không","Không phải bây giờ, cũng không bao giờ!","Không phải bây giờ, cũng không bao giờ!",simple
Who we are.,Của chúng ta.,Chúng tôi là ai.,Chúng ta là ai.,simple
I met her a couple years ago.,Tôi đã gặp cô ấy vài năm trước.,Tôi đã gặp cô ấy vài năm trước.,Tôi gặp cô ấy vài năm trước.,simple
"Q Branch, please.","Chi Nhánh "" Q "".","Chi nhánh Q, xin vui lòng.","Q Branch, làm ơn.",simple
We can only wait and see.,Chúng ta có thể đợi và xem điều đó.,Chúng ta chỉ có thể chờ xem.,Chúng ta chỉ có thể chờ xem.,idiom
"Well, sometimes I think he's pretty much a ghost.","Đôi lúc, tôi nghĩ hắn là một bóng ma thì đúng hơn.","À, đôi khi tôi nghĩ anh ấy gần như là một con ma.","Chà, đôi khi tôi nghĩ anh ta gần như là một bóng ma.",idiom
What was a mistake?,Cái gì sai lầm hả?,Một sai lầm là gì?,Sai lầm là gì?,simple
We lost Ivory.,Chúng ta đã mất Ivory.,Chúng tôi đã mất Ngà.,Chúng ta đã mất Ivory.,simple
You're welcome.,- Không có gì.,Không có gì.,Không có gì.,simple
I've been thinking.,Tôi nghĩ rồi. Và?,Tôi đã suy nghĩ.,Tôi đã suy nghĩ.,simple
"- Are, uh, having dinner with my dad tomorrow night.",Dùng buổi tối với bố em tối mai.,- Tối mai tôi sẽ ăn tối với bố tôi.,"- À, ừm, tối mai ăn tối với bố tôi.",simple
Hello Sarah.,"Chào, Sarah.",Xin chào Sarah.,Chào Sarah.,simple
OK.,(Lilly) Ok.,ĐƯỢC RỒI.,Được.,simple
- Dave?,-Dave? !,- Dave?,- Dave?,simple
Miss?,Quý cô?,Cô?,Cô?,simple
"No, you didn't.",Không ạ.,"Không, bạn đã không làm vậy.","Không, anh không làm vậy.",simple
"Well, everyone's got...","Vâng, tất cả mọi người đều có...","Vâng, mọi người đều có...","Chà, mọi người đều có...",simple
"- Thankyou, sir.",Đại úy,- Cảm ơn ngài.,- Cảm ơn ngài.,simple
Illegal combatant on the Grid.,Đấu sĩ bất hợp pháp trong Mạng Lưới.,Chiến binh bất hợp pháp trên Lưới.,Chiến binh bất hợp pháp trên Mạng lưới.,simple
I gotta go. Julian's interview's on. I'll see you on Friday.,Anh phải đi thương thuyết hẹn gặp lại em,Tôi phải đi. Cuộc phỏng vấn của Julian đang diễn ra. Tôi sẽ gặp bạn vào thứ Sáu.,Tôi phải đi đây. Buổi phỏng vấn của Julian đang chiếu. Hẹn gặp lại bạn vào thứ Sáu.,complex
"""This is him. This is the one.""","""Chính là anh ta, người tôi tìm.""","""Đây là anh ấy. Đây là anh ấy.""","""Đây là anh ta. Đây là người đó.""",complex
"Joe, look out!",cẩn thận!,"Joe, coi chừng!","Joe, coi chừng!",simple
The king shits and the Hand wipes.,Nhà vua làm bậy và Cánh Tay Mặt đi dọn.,Nhà vua ị và khăn lau tay.,Vua đi vệ sinh và Quân sư lau chùi.,idiom
"So... 1 bang: yes, 2 means no.","1 gõ là có, 2 gõ là không.","Vậy... 1 bang: có, 2 nghĩa là không.","Vậy... 1 tiếng: có, 2 tiếng nghĩa là không.",simple
Not here.,Không phải nơi đây.,Không phải ở đây.,Không ở đây.,simple
Game.,Khui.,Trò chơi.,Trò chơi.,simple
"Or the ""massage therapist."" None of the flight attendants from every major and regional airline who've wheeled their carts through this house.",Hay là nhân viên mat-xa không phải như vậy,"Hoặc ""nhà trị liệu mát-xa"". Không có tiếp viên hàng không nào của mọi hãng hàng không lớn và khu vực từng lái xe qua ngôi nhà này.","Hoặc là ""nhân viên mát-xa."" Không một tiếp viên hàng không nào từ mọi hãng lớn và khu vực đã đẩy xe qua ngôi nhà này.",complex
- In a nutshell?,- Ngắn gọn nhé ?,- Tóm lại?,- Nói tóm lại?,idiom
You invited your ex?,Mời cả chồng cũ à?,Bạn đã mời người yêu cũ của bạn?,Anh mời người yêu cũ của anh à?,simple
- Am I going through a canyon?,- Ta có đang đi ngang qua một hẽm núi không hả?,- Có phải tôi đang đi qua hẻm núi không?,- Tôi đang đi qua một hẻm núi à?,simple
- I got it.,- Con làm được.,- Tôi hiểu rồi.,- Tôi hiểu rồi.,idiom
I got Salvatore.,Tôi tóm được Salvatore.,Tôi đã có Salvatore.,Tôi có Salvatore rồi.,ambiguous
Nothing.,Ko có gì.,Không có gì.,Không có gì.,simple
Are you okay? !,Có sao không hả?,Bạn có ổn không? !,Anh ổn không?!,simple
"I told him I had nothing to give, and I didn't.",và vậy thôi.,"Tôi nói với anh ấy rằng tôi không có gì để cho, và tôi đã không làm vậy.","Tôi nói với anh ta là tôi không có gì để cho, và tôi thật sự không có.",complex
- We did it.,- Thành công rồi.,- Chúng tôi đã làm được.,- Chúng ta đã làm được.,simple
"""This... stuff""?",Th#7913;... N#224;y.,"""Cái... thứ này""?","""Cái... thứ này""?",simple
Lars Thorwald.,Lars Thorwald.,Lars Thorwald.,Lars Thorwald.,simple
"I'm the head of security, lady.","Tôi là người đứng đầu khu vực an ninh,thưa bà Trông tôi giống gác cổng cho bà hả?","Tôi là người đứng đầu bộ phận an ninh, thưa cô.","Tôi là trưởng phòng an ninh, cô nương.",simple
Jim.,Jim.,Jim.,Jim.,simple
Really? You never fantasize about leaving me for another man?,Em không cần người chồng thứ 2 à?,Thật sự? Anh chưa bao giờ nghĩ tới việc bỏ em để theo người đàn ông khác à?,Thật sao? Em chưa bao giờ tưởng tượng đến việc bỏ anh để đi với người đàn ông khác à?,simple
Go home to Chuck.,Hãy về nhà với Chuck.,Về nhà với Chuck.,Về nhà với Chuck đi.,simple
Maybe like that:,Có thể như thế này:,Có lẽ như thế:,Có lẽ là như thế này:,simple
What kind of fighting style is that?,Đó là kiểu đánh gì thế?,Đó là phong cách chiến đấu như thế nào?,Đó là kiểu võ gì vậy?,simple
